,year,latitude,longitude,sea_temp_c,air_temp_c,humidity,wind_ew,wind_ns
0,1997.0,0.0,-110.0,27.59000015,27.14999962,79.59999847,-6.400000095,5.400000095
1,1997.0,0.0,-110.0,27.54999924,27.02000046,75.80000305,-5.300000191,5.300000191
2,1997.0,0.0,-110.0,27.56999969,27.0,76.5,-5.099999905,4.5
3,1997.0,0.0,-110.0,27.62000084,26.93000031,76.19999695,-4.900000095,2.5
4,1997.0,0.0,-110.0,27.64999962,26.84000015,76.40000153,-3.5,4.099999905
5,1997.0,0.0,-110.0,27.82999992,26.94000053,76.69999695,-4.400000095,1.600000024
6,1997.0,0.0,-110.0,28.01000023,27.04000092,76.5,-2.0,3.5
7,1997.0,0.0,-110.0,28.04000092,27.11000061,78.30000305,-3.700000048,4.5
8,1997.0,0.0,-110.0,28.02000046,27.20999908,78.59999847,-4.199999809,5.0
9,1997.0,0.0,-110.0,28.04999924,27.25,76.90000153,-3.599999905,3.5
10,1997.0,0.0,-110.0,28.06999969,27.22999954,77.59999847,-3.700000048,2.900000095
11,1997.0,0.0,-110.0,28.09000015,27.31999969,77.5,-4.800000191,1.799999952
12,1997.0,0.0,-110.0,28.20000076,27.30999947,80.09999847,-3.5,1.899999976
13,1997.0,0.0,-110.0,28.25,26.44000053,85.19999695,-1.0,1.799999952
14,1997.0,0.0,-110.0,28.42000008,26.78000069,79.80000305,-1.5,0.899999976
15,1997.0,0.0,-110.0,28.57999992,27.42000008,76.30000305,-2.599999905,0.699999988
16,1997.0,0.0,-110.0,28.52000046,27.5,81.80000305,-4.400000095,2.900000095
17,1997.0,0.0,-110.0,28.35000038,27.09000015,84.59999847,-5.800000191,3.299999952
18,1997.0,0.0,-110.0,28.28000069,27.29000092,81.30000305,-7.300000191,3.799999952
19,1997.0,0.0,-110.0,28.18000031,27.09000015,84.69999695,-6.300000191,4.699999809
20,1997.0,0.0,-110.0,28.05999947,27.05999947,83.90000153,-4.800000191,6.800000191
21,1997.0,0.0,-110.0,28.04000092,27.28000069,79.19999695,-3.200000048,6.699999809
22,1997.0,0.0,-110.0,28.09000015,27.29999924,77.5,-2.200000048,3.5
23,1997.0,0.0,-110.0,28.12000084,27.51000023,80.40000153,-4.900000095,1.899999976
24,1997.0,0.0,-110.0,28.12999916,27.54000092,82.5,-5.699999809,1.5
25,1997.0,0.0,-110.0,28.11000061,27.62000084,81.5,-5.300000191,2.900000095
26,1997.0,0.0,-110.0,28.14999962,27.51000023,81.0,-4.400000095,4.0
27,1997.0,0.0,-110.0,28.19000053,27.60000038,80.69999695,-5.099999905,4.199999809
28,1997.0,0.0,-110.0,28.17000008,27.63999939,81.0,-6.599999905,2.400000095
29,1997.0,0.0,-110.0,28.20999908,27.55999947,77.0,-4.599999905,4.199999809
30,1997.0,0.0,-110.0,28.20999908,27.52000046,76.5,-2.900000095,4.300000191
31,1997.0,0.0,-110.0,28.25,26.80999947,84.69999695,-3.0,2.599999905
32,1997.0,0.0,-110.0,28.26000023,27.04000092,86.69999695,-5.0,1.799999952
33,1997.0,0.0,-110.0,28.22999954,27.18000031,87.19999695,-6.300000191,2.400000095
34,1997.0,0.0,-110.0,28.31999969,27.84000015,82.59999847,-6.5,4.300000191
35,1997.0,0.0,-110.0,28.02000046,25.76000023,91.09999847,-1.399999976,2.900000095
36,1997.0,0.0,-110.0,28.03000069,26.37999916,86.59999847,0.0,2.299999952
37,1997.0,0.0,-110.0,28.14999962,27.0,87.0,-1.299999952,2.799999952
38,1997.0,0.0,-110.0,28.52000046,26.87999916,89.30000305,-4.099999905,3.599999905
